HSK1_Word	HSK2_Word	HSK3_Word	HSK4_Word
昨天	贸易	理	航线
左	煤	里头	航运
做	煤气	礼	豪华
作	没错	礼拜	好多
作业	没什么	历年	好感
坐	没事儿	利	好坏
座	没用	利润	好说
	每	力求	好样的
	美	力争	好在
	美好	联络	好转
	美丽	联盟	耗费
	美术	连接	号称
	美元	脸色	浩浩荡荡
	梦	炼	好客
	米	凉水	荷花
	秘密	两旁	核桃
	蜜蜂	量	核武器
	密	谅解	核心
	密切	料	和蔼
	棉花	列车	和解
	棉衣	裂	和睦
	面	烈士	和平共处
	面	猎人	和气
	面积	淋	和尚
	面貌	零件	和谐
	面前	灵魂	和约
	描写	领会	何
	秒	领土	何等
	庙	领域	合并
	妙	令	合乎
	灭	溜	合伙
	民主	留学	合情合理
	明亮	流传	合营
	明确	流动	合资
	明显	流氓	禾苗
	名	流水	河道
	名胜	流行	贺词
	命令	流域	黑白
	命运	柳树	狠毒
	摸	笼子	狠心
	模仿	拢	恒星
	磨	垄断	横行
	墨水儿	笼罩	横
	某	楼道	轰动
	模样	楼房	轰轰烈烈
	亩	搂	轰炸
	母	露面	烘
	木	喽	虹
	木头	炉子	宏大
	目标	路过	红领巾
	目的	路口	哄
	哪个	露	哄
	哪怕	陆地	厚度
	哪些	陆军	候补
	那边	驴	候选人
	奶奶	铝	后期
	耐心	旅游	后勤
	耐用	卵	后台
	南部	掠夺	呼声
	南方	轮廓	呼啸
	南面	轮流	呼吁
	男人	轮子	忽略
	难道	论	葫芦
	难过	逻辑	胡
	难看	锣	胡来
	难受	骆驼	糊
	脑袋	马克思主义	狐狸
	脑子	瞒	互利
	闹	满腔	户口
	内部	漫长	花费
	能干	盲目	花色
	能力	毛笔	花纹
	能源	毛线	花样
	泥	毛泽东思想	华丽
	年代	茅台酒	画面
	年龄	梅花	划分
	年青	没说的	化肥
	鸟	眉毛	化纤
	扭	眉头	化妆
	浓	美观	话题
	弄	闷	槐树
	女人	门诊	怀孕
	女士	闷	欢笑
	暖	蒙	环节
	暖气	猛	还原
	怕	猛烈	缓
	排	猛然	换取
	排	梦想	患者
	牌	眯	荒地
	盘	迷	荒凉
	盘子	迷糊	荒谬
	盼望	迷信	荒唐
	判断	谜语	慌乱
	旁	秘书	慌张
	胖	蜜	黄金
	炮	免得	皇后
	赔	勉强	蝗虫
	陪	面对	晃
	配合	面粉	挥霍
	喷	面孔	回避
	盆	面临	回顾
	捧	苗	回击
	碰见	灭亡	回收
	批	民兵	毁坏
	批判	民间	毁灭
	批准	民用	悔
	披	敏捷	悔改
	脾气	明白	悔恨
	疲劳	明明	贿赂
	皮	明信片	会同
	皮肤	鸣	会晤
	匹	命	会员
	偏	模范	汇集
	片面	模糊	汇率
	骗	模型	绘
	飘	摩托车	绘画
	拼命	抹	混纺
	品种	末	混合物
	乒乓球	墨	混浊
	平	陌生	豁
	平安	某些	活力
	平常	墓	伙计
	平等	幕	火山
	平方	木材	火灾
	平静	目光	获取
	平均	牧场	或是
	平时	牧民	或许
	平原	拿…来说	祸
	瓶子	奶	祸害
	坡	耐	击
	破坏	耐烦	基督教
	迫切	男子	基金
	扑	难得	机车
	铺	难怪	机灵
	朴素	难题	机密
	普遍	难以	机枪
	普通	脑筋	机体
	期	脑力	机遇
	期间	闹笑话	机智
	欺骗	闹着玩儿	积
	妻子	内科	积压
	其次	嫩	激
	其他	能	激发
	其它	能	激光
	其余	能歌善舞	激励
	其中	能量	激情
	奇怪	泥土	讥笑
	齐	念书	吉普车
	旗子	娘	吉祥
	企图	捏	极度
	企业	拧	极力
	启发	宁可	极限
	气	扭转	籍贯
	气候	农场	集会
	气温	农具	集市
	气象	农贸市场	集邮
	汽油	农田	集资
	牵	农药	及早
	千万	农作物	急剧
	签订	奴隶	急切
	前进	怒	急需
	前面	女子	急于
	前年	噢	即使
	前天	哦	嫉妒
	前途	偶尔	脊梁
	欠	偶然	几何
	枪	趴	迹象
	强	拍摄	季度
	强大	拍子	寄托
	强盗	排斥	寂静
	强调	排列	计较
	强度	牌子	记号
	强烈	攀	记性
	抢	攀登	记忆力
	敲	盘	忌
	悄悄	盼	继
	桥梁	畔	纪要
	瞧	抛	嘉奖
	巧	炮弹	夹杂
	巧妙	泡	家常
	切	培养	家畜
	且	培育	家务
	侵略	赔偿	家喻户晓
	亲爱	陪同	家长
	亲戚	配	加班
	亲切	佩服	加急
	亲自	盆地	加剧
	青	蓬勃	加热
	轻松	棚	加深
	清	膨胀	加重
	情景	碰钉子	颊
	情形	批	甲板
	情绪	疲倦	假定
	请客	屁股	假冒
	请求	譬如	假设
	庆祝	偏	假装
	穷	偏偏	驾
	球场	飘扬	监察
	求	拼	坚韧
	区	贫苦	坚实
	区别	贫穷	坚信
	渠	品德	坚贞不屈
	取	品质	尖端
	取消	平凡	兼任
	圈	平衡	肩膀
	全面	平行	艰险
	劝	凭	奸
	缺	评	茧
	缺点	评价	检测
	缺乏	评论	检察
	缺少	泼	检举
	却	破产	检修
	确定	破烂	简称
	裙子	迫害	简短
	群	葡萄	简化
	群众	普及	简陋
	然而	普通话	简明
	燃烧	欺负	简体字
	染	漆	简要
	嚷	其	简易
	绕	其实	剪彩
	惹	棋	剪刀
	热爱	奇迹	减产
	热烈	旗袍	减低
	热闹	旗帜	减弱
	热水瓶/暖水瓶	起初	间隔
	热心	起飞	间接
	人才/人材	起义	鉴别
	人工	起源	鉴于
	人家	器材	践踏
	人口	器官	见识
	人类	气	见效
	人民币	气氛	键盘
	人物	气愤	健美
	人员	气概	健壮
	人造	气体	建交
	忍	气味	姜
	任务	气压	将近
	认	汽船	桨
	认得	恰当	奖品
	扔	恰好	奖状
	仍	恰恰	讲解
	仍然	铅	讲理
	日常	千方百计	讲述
	日程	千克	讲演
	日记	谦虚	降价
	日期	前方	降临
	日用品	前后	降落
	日元	前头	焦点
	如	歉意	焦炭
	如	墙壁	胶
	如果	强迫	胶片
	如何	翘	交叉
	如今	切实	交错
	入	侵犯	交点
	软	侵入	交付
	弱	亲	交涉
	撒	亲热	交手
	洒	亲人	交替
	赛	亲眼	交往
	伞	琴	浇灌
	噪子	勤劳	娇
	扫	青菜	娇气
	嫂子	青春	嚼
	色	青蛙	搅拌
	森林	轻视	绞
	杀	轻易	缴
	沙发	倾向	缴纳
	沙漠	清晨	教会
	沙子	清除	教唆
	傻	清洁	教条
	晒	清晰	教养
	山脉	清醒	轿车
	山区	晴天	较量
	闪	情	叫喊
	善于	情报	叫唤
	伤	请教	叫嚷
	伤心	请示	揭发
	商场	穷人	揭示
	商量	秋季	接班
	商品	丘陵	接二连三
	商业	区域	接洽
	上班	曲折	接收
	上当	渠道	皆
	上级	娶	街坊
	上面	趣味	街头
	上衣	圈子	结果
	稍	权利	截止
	稍微	权力	劫
	烧	全局	劫持
	勺子	拳头	节能
	少数	劝告	节育
	少年	群岛	节奏
	蛇	燃料	杰出
	舌头	染料	杰作
	射	饶	结晶
	设备	热带	结局
	设计	热量	结算
	伸	人家	结业
	身	人间	解除
	身边	人力	解雇
	深厚	人群	解散
	深刻	人士	戒严
	深入	人体	界
	什么的	人心	界限
	神	忍不住	借鉴
	神经	忍耐	借助
	生	忍受	金额
	生	任	金黄
	生动	任	金牌
	生命	任性	金钱
	生气	任意	金融
	生物	仍旧	筋
	生意	日报	津津有味
	生长	日夜	津贴
	升	日益	紧迫
	绳子	日用	紧缩
	省	荣幸	锦绣
	胜	溶液	尽快
	失败	容	进程
	失去	容器	进而
	失望	容许	进取
	失业	揉	进展
	狮子	柔软	晋升
	施工	如此	禁
	湿	如同	禁区
	诗	如下	近年
	石头	软弱	近期
	石油	若	近视
	拾	若干	近似
	时代	塞	劲头
	时刻	散	惊慌
	时期	散文	精打细算
	食品	散	精华
	食物	散布	精简
	实际	丧失	精美
	实事求是	色彩	精密
	实行	纱	精确
	实验	删	精通
	实用	山地	精心
	实在	山峰	精益求精
	使	山谷	兢兢业业
	始终	闪电	经典
	世纪	闪烁	经商
	事件	扇子	经受
	事实	伤害	经销
	事物	伤口	茎
	事先	伤脑筋	警戒
	事业	商人	警卫
	适当	上帝	景
	适合	上升	颈
	适应	上述	静悄悄
	适用	上头	境地
	市场	上下	境界
	室	上旬	敬
	试卷	上游	敬而远之
	试验	少女	镜头
	收获	少先队	竞选
	收入	哨兵	净化
	收音机	舍不得	纠纷
	手段	舍得	玖
	手工	摄氏	酒会
	手绢/手帕	摄影	酒精
	手术	射击	救济
	手套	社会主义	救灾
	手续	社论	就餐
	手指	设	就地
	首	设法	就近
	首先	设想	就算
	受	申请	就业
	瘦	身材	就职
	蔬菜	身份/身分	鞠躬
	叔叔	身子	拘留
	舒适	深度	拘束
	书包	深夜	居
	书店	神话	居室
	书记	神秘	菊花
	书架	神气	局势
	熟练	神情	局限
	熟悉	神圣	举动
	暑假	审查	举世闻名
	属于	婶子	举世瞩目
	树林	甚至	聚会
	数	甚至于	拒
	数量	慎重	据点
	数字	声明	据悉
	刷	生	具
	摔	生病	锯
	甩	生存	剧本
	率领	生理	剧团
	双方	省得	捐
	水稻	省长	捐款
	水泥	圣诞节	捐献
	顺	剩余	捐赠
	顺便	师范	圈
	顺利	失掉	掘
	撕	失眠	觉察
	私	湿润	觉醒
	私人	诗人	决不
	司机	时常	决策
	丝	时机	决赛
	似乎	时节	决算
	松	时时	决战
	送行	实话	绝望
	速度	实况	绝缘
	塑料	实施	菌
	算了	实习	军阀
	随	实质	军医
	随便	使得	军用
	随时	使劲	军装
	碎	驶	君
	损失	示威	俊
	缩	士兵	卡
	所	似的	卡片
	所	事故	开采
	所谓	事迹	开刀
	塔	事务	开工
	台	逝世	开关
	太太	势力	开化
	谈话	是的	开垦
	谈判	是非	开阔
	弹	是否	开朗
	毯子	适宜	开天辟地
	探	市长	开头
	趟	收割	开拓
	烫	收集	开心
	掏	收缩	开支
	逃	手枪	凯旋
	讨厌	手势	刊登
	套	守	勘探
	特此	寿命	看待
	特点	售	看起来
	特殊	售货	看望
	提倡	梳	看做
	提供	梳子	慷慨
	提前	舒畅	糠
	题	书本	抗旱
	题目	书籍	抗击
	体会	树立	抗战
	体积	树木	炕
	体系	束	考古
	体育场	束缚	考核
	体育馆	数据	考取
	替	数目	磕
	天真	刷子	颗粒
	添	耍	科目
	填	衰弱	可歌可泣
	田	拴	可观
	田野	霜	可贵
	甜	双	可口
	挑	水分	可恶
	条约	水库	可喜
	调整	水利	可想而知
	贴	水力	客车
	铁	睡眠	课时
	铁路	税	课题
	听讲	顺	啃
	停止	顺手	恳切
	通讯	说不定	恳求
	同	说法	空洞
	同	说服	空话
	同情	思考	空调
	同屋	思念	空想
	同样	思索	空心
	铜	思维	空虚
	桶	私有	恐惧
	统一	司令	孔雀
	统治	丝毫	空白
	痛	死	空隙
	痛苦	死亡	控诉
	偷	四处	抠
	偷偷	四面八方	口岸
	投	四周	口腔
	投入	饲养	枯燥
	头	松树	苦难
	头发	送礼	苦恼
	透	搜集	库
	突出	艘	库存
	突击	俗话	库房
	图	速成	夸奖
	涂	算是	挎
	土	算数	快速
	土地	虽	会计
	土豆	虽说	宽敞
	吐	随后	宽大
	吐	随即	宽广
	兔子	随手	狂妄
	团	岁数	框
	推动	孙女	矿藏
	推广	孙子	矿产
	拖	损害	矿井
	托	损坏	矿区
	脱离	缩短	矿山
	挖	缩小	矿物
	哇	锁	旷工
	歪	锁	旷课
	外地	所在	亏
	外交	塌	亏待
	外面	踏实	亏损
	弯	踏	葵花
	完整	摊	困苦
	网球	摊	扩充
	往往	滩	扩建
	望	谈话	扩散
	忘记	谈论	扩展
	微笑	坦克	扩张
	危害	探索	腊月
	危机	叹气	落
	违反	倘若	来访
	围	桃	来回来去
	围绕	逃避	…来看/…来讲
	维护	特	来历
	委员	特务	来临
	尾巴	特征	来年
	未	提包	来说
	未来	提纲	赖
	味道	提问	兰花
	胃	提醒	栏杆
	喂	提议	懒惰
	位置	蹄	狼狈
	卫生	体操	浪潮
	卫星	体力	浪漫
	温度	体面	劳动力
	温暖	体温	牢房
	文件	体现	牢记
	文明	天才	老成
	文物	天空	老汉
	文字	天然	老化
	闻	天然气	老家
	稳	天上	老鼠
	稳定	天文	老太婆
	问候	天下	老天爷
	握	天主教	老爷
	污染	田地	老一辈
	屋	挑选	涝
	无	条例	乐趣
	无论	调节	乐意
	无数	调皮	勒
	无限	跳动	雷达
	武器	厅	雷雨
	武术	停留	垒
	雾	亭子	棱
	物价	挺	冷淡
	物质	通常	犁
	误会	通顺	离别
	西北	通信	离休
	西部	同伴	篱笆
	西餐	同胞	理睬
	西方	同盟	理会
	西瓜	筒	理事
	西红柿	统计	理所当然
	西南	统统	理直气壮
	西面	投机	礼节
	吸	投降	礼品
	吸收	头脑	荔枝
	吸烟/抽烟	透明	栗子
	吸引	突破	历代
	牺牲	图画	历来
	洗衣机	徒弟	利弊
	系统	途径	利害
	戏	土	利息
	细菌	土壤	例外
	细心	团体	立方米
	下班	团员	立交桥
	下面	团长	立体
	吓	推迟	沥青
	掀	推辞	力图
	先后	推翻	联
	先进	推荐	联邦
	鲜	推进	联想
	鲜花	退步	连…带…
	纤维	退休	连队
	闲	吞	连滚带爬
	显得	拖拉机	连连
	显然	托儿所	连绵
	显著	驮	连年
	现代化	妥当	连同
	现实	娃娃	连续剧
	现象	瓦	连夜
	献	歪曲	莲子
	县	外部	廉价
	羡慕	外界	廉洁
	限制	外科	廉政
	线	外头	帘
	相	外衣	镰刀
	相当	外祖父	脸盆
	相反	外祖母	恋
	相互	弯曲	练兵
	相似	玩笑	链子
	相同	玩意儿	梁
	香肠	顽固	良
	香皂	顽强	良种
	箱子	丸	良心
	乡	完备	两极
	乡下	完善	两口子
	详细	挽	两手
	想法	挽救	晾
	想念	晚报	亮光
	想像/想象	万分	疗效
	响应	万古长青	疗养
	享受	万岁	辽阔
	项	万万	潦草
	项目	万一	列举
	象	网	列入
	消费	往来	列席
	消化	威胁	烈火
	消灭	微小	劣
	消失	违背	林场
	晓得	围巾	林区
	小伙子	为难	林业
	小麦	为首	磷
	小朋友	为止	临床
	小说	维持	临近
	小心	维生素	邻
	小学	委屈	邻国
	校长	委托	零售
	笑话	未必	零碎
	效果	味	零星
	效率	位于	玲珑
	歇	慰问	伶俐
	斜	温	凌晨
	血	温带	灵
	新鲜	温和	灵敏
	心得	蚊子	灵巧
	心情	闻名	岭
	心脏	吻	领事
	信	嗡	领先
	信心	卧	领子
	星星	污	硫酸
	兴奋	诬蔑	留恋
	形成	无比	留神
	形容	无产阶级	留心
	形式	无法	留意
	形势	无可奈何	流寇
	形象	无论如何	流浪
	形状	无情	流露
	行	无所谓	流通
	行动	无线电	陆
	行李	无疑	龙头
	醒	武装	聋
	兴趣	舞蹈	隆重
	性	舞会	漏税
	性格	舞台	路程
	性质	侮辱	路面
	姓名	物品	路子
	兄弟	物体	鹿
	胸	物资	录取
	雄	误	录用
	雄伟	西服	陆
	熊猫	西医	旅
	修	吸取	旅店
	修改	稀	旅游业
	修理	锡	履行
	虚心	袭击	屡次
	许	媳妇	律师
	宣布	喜爱	率
	宣传	喜悦	绿化
	选	戏剧	乱七八糟
	选举	细胞	略微
	选择	细致	抡
	学	瞎	论点
	学费	虾	论述
	学期	峡谷	论证
	学术	下降	啰唆
	学问	下列	螺丝钉
	血液	下旬	骡子
	寻找	下游	罗列
	训练	夏季	箩筐
	迅速	鲜明	落成
	压	鲜血	落地
	压迫	鲜艳	落实
	牙	咸	落选
	牙刷	闲话	抹布
	盐	嫌	麻
	严格	显示	麻痹
	严肃	险	麻袋
	严重	现	麻木
	研究所	现成	麻雀
	延长	县城	麻醉
	沿	宪法	蚂蚁
	眼	陷	马车
	眼镜	线路	马达
	眼泪	相对	马力
	眼前	香烟	马铃薯
	演	箱	马戏
	演员	乡村	埋没
	咽	响亮	埋头
	阳光	巷	卖国
	仰	相声	脉搏
	养	向导	埋怨
	样	向来	满怀
	邀请	象征	满月
	腰	削	慢性
	摇	消除	蔓延
	咬	消毒	茫茫
	要紧	消耗	茫然
	爷爷	消极	盲从
	业务	小便	盲人
	业余	小组	忙碌
	叶子	笑容	茂密
	夜里	协定	茂盛
	夜晚	协会	冒进
	一	协助	冒牌
	一半	协作	冒险
	一边	写作	玫瑰
	一…也…	卸	枚
	一方面…一方面…	欣赏	酶
	一齐	辛勤	霉
	一生	新生	没吃没穿
	一时	新式	没辙
	一同	新型	媒介
	一下子	心爱	镁
	一致	心理	美德
	一道	心事	美满
	医务室	心思	美妙
	医学	心意	美中不足
	依靠	信号	门当户对
	移	信念	门市部
	移动	信任	萌芽
	仪器	信息	迷惑
	疑问	形态	迷失
	已	行人	弥补
	以	行驶	弥漫
	以及	行为	密度
	以来	行星	密封
	以内	行政	棉
	以上	兴高采烈	免
	以外	幸亏	免除
	以下	性别	免费
	意外	性能	勉励
	意志	凶	面包车
	议论	凶恶	面面俱到
	异常	修建	面目
	因此	修正	面容
	因而	修筑	面子
	因素	锈	描
	银	绣	描绘
	引起	需	描述
	印	须	渺小
	印刷	叙述	蔑视
	印象	宣告	民航
	英雄	宣言	民事
	英勇	悬	民意
	应	悬崖	民众
	应当	旋转	敏感
	营养	选修	敏锐
	营业	学会	明星
	迎接	学科	名称
	影子	学年	名次
	应用	学时	名单
	硬	学说	名额
	拥抱	学位	名副其实
	拥护	学员	名贵
	勇敢	学者	名牌
	勇气	学制	名人
	用不着	雪花	名声
	用处	血管	名义
	用功	血汗	名誉
	用力	循环	命名
	优点	询问	命题
	优良	寻	谬论
	优美	压力	摸索
	优秀	压缩	蘑菇
	悠久	压制	模式
	由	押	膜
	由于	鸭子	磨擦
	油	芽	魔鬼
	游览	牙齿	魔术
	游泳池	牙膏	抹杀
	有的是	亚军	莫
	有(一)点儿	烟	莫名其妙
	有关	烟囱	默默
	有利	淹	谋
	有力	严	谋求
	有趣	严禁	木匠
	有时	严厉	目
	有效	严密	目睹
	有用	研究生	目录
	右边	研制	目中无人
	于	岩石	牧区
	于是	沿儿	牧业
	雨衣	沿海	穆斯林
	与	掩盖	那时
	语调	掩护	纳闷儿
	语气	眼光	纳税
	语音	眼看	乃
	羽毛球	演说	奶粉
	玉米	燕子	耐力
	遇	厌恶	男性
	遇见	扬	难度
	预备	洋	难关
	员	氧化	难堪
	原料	氧气	难免
	原因	养成	难
	原则	养料	难民
	圆珠笔	摇摆	恼火
	愿望	摇晃	闹事
	院	遥远	内地
	院长	窑	内阁
	院子	谣言	内行
	约	药方	内幕
	约会	药品	内心
	越…越…	药水儿	内在
	越来越…	药物	内脏
	阅读	要	内战
	阅览室	要不	内政
	允许	要不然	能手
	运	要不是	尼龙
	运动会	要点	拟
	运动员	要好	拟定
	运输	钥匙	逆流
	运用	野兽	年度
	杂	冶金	年头儿
	杂技	夜间	捻
	灾	液体	撵
	灾害	一带	念头
	暂时	一一	酿
	赞成	一口气	尿
	遭到	一连	捏造
	遭受	一路平安	柠檬
	糟糕	一路顺风	凝固
	造	一面…一面	凝结
	造句	一旁	凝视
	责任	一系列	宁静
	则	一下	宁肯
	增长	一向	宁愿
	扎	一心	纽扣儿
	摘	一行	浓度
	窄	一阵	浓厚
	粘	一再	农产品
	展出	医疗	农户
	展开	依旧	弄虚作假
	展览会	依据	奴役
	战斗	依然	怒吼
	战胜	依照	怒火
	战士	伊斯兰教	女性
	战争	遗产	挪
	章	遗憾	殴打
	涨	遗留	呕吐
	丈	仪表	扒
	丈夫	仪式	拍照
	招待	疑心	排除
	招待会	姨	排队
	招呼	倚	排挤
	着	乙	排长
	照	以便	徘徊
	照常	以至	派别
	照片/相片	以致	派出所
	召开	抑制	派遣
	折	易	盘旋
	哲学	意识	判处
	这边	意味着	判定
	真理	毅力	判决
	真实	义务	叛变
	针	议会	叛徒
	针对	音	庞大
	阵	阴谋	胖子
	睁	阴天	抛弃
	征求	银幕	刨
	争	饮料	炮火
	争论	引	跑道
	争取	引导	泡沫
	整个	引进	培训
	整理	隐约	赔款
	正	印染	配备
	正常	英镑	配方
	正好	英明	配偶
	正式	婴儿	配套
	政策	迎	喷射
	证明	影片	烹饪
	支持	应	烹调
	支援	应酬	批发
	之后	应付	批复
	之前	应邀	批改
	之上	硬	批示
	之下	哟	坯
	之一	拥挤	劈
	之中	踊跃	疲惫
	织	涌	疲乏
	职工	用品	皮带
	职业	用途	皮革
	直	用心	屁
	直	优胜	偏差
	直到	优势	偏见
	直接	优越	偏僻
	植物	邮包	偏向
	执行	犹豫	片刻
	值得	油田	漂
	指出	游	撇
	指导	游戏	瞥
	指挥	游行	拼搏
	指示	有机	频繁
	止	有两下子	频率
	只是	有限	贫
	只要	有一些	贫乏
	只有	有意	贫困
	至	有益	贫民
	至今	友爱	品
	至少	幼儿园	品尝
	制定	幼稚	品行
	制订	愚蠢	聘
	制度	余	聘请
	制造	渔民	聘任
	秩序	娱乐	聘用
	质量	与其	平面
	治	宇宙	平民
	中餐	语文	平日
	中心	浴室	平坦
	中央	愈…愈…	平稳
	中药	寓言	平整
	终于	预报	萍水相逢
	种子	预防	评比
	种子	预告	评定
	重大	预先	评估
	重点	预祝	评审
	重量	冤枉	评选
	重视	元旦	屏障
	周到	元素	颇
	株	元宵	婆婆
	逐步	原理	破除
	逐渐	原始	破获
	竹子	原先	破旧
	煮	原子	破裂
	主动	原子弹	破碎
	主观	援助	迫使
	主人	园林	扑克
	主任	圆满	扑灭
	主席	猿人	葡萄糖
	主张	缘故	仆人
	著名	愿	朴实
	著作	怨	普查
	住院	越	谱
	祝贺	跃进	谱曲
	抓	月光	瀑布
	抓紧	乐器	期待
	专家	晕	期刊
	专门	运气	期望
	专心	运转	期限
	专业	砸	七嘴八舌
	转	杂文	柒
	转变	杂志	凄惨
	转告	杂质	凄凉
	转	栽	漆黑
	庄稼	灾难	沏
	庄严	载	其间
	撞	载重	奇花异草
	状况	再三	奇妙
	状态	再说	奇特
	追	在于	歧视
	准	在座	齐全
	准确	赞美	旗号
	准时	赞扬	起草
	捉	遭	起点
	资料	遭遇	起伏
	资源	糟	起哄
	紫	凿	起劲
	仔细	早期	起码
	自	早晚	起身
	自从	早已	起诉
	自动	责备	岂不
	自费	增产	岂有此理
	自觉	增进	乞求
	自然	增强	启程
	自我	赠送	启示
	自学	扎实	启事
	自由	渣	砌
	综合	炸	器
	总结	炸	器具
	总理	债	器械
	总统	沾	气喘
	走道	盏	气功
	组	崭新	气力
	钻	占领	气流
	钻研	占有	气魄
	醉	战场	气球
	最好	战略	气势
	尊敬	战术	气息
	遵守	战线	汽
	左边	战友	掐
	左右	张	恰到好处
	做法	张望	恰巧
	做客	长	恰如其分
	做梦	掌声	洽谈
	作家	账/帐	牵扯
	作品	胀	牵引
	作为	障碍	牵制
	作文	招	千军万马
	作用	招手	千瓦
	作者	着凉	迁
	坐班	照例	迁就
	座谈	照相机	签发
	座位	照样	签名
		照耀	签署
		罩	签证
		召集	签字
		遮	谦逊
		折合	前辈
		折磨	前程
		者	前赴后继
		这会儿	前景
		这样一来	前列
		珍贵	前期
		珍惜	前人
		珍珠	前所未有
		真是	前提
		针灸	前往
		枕头	前线
		震	钳子
		震动	潜伏
		振动	潜力
		镇	谴责
		镇静	嵌
		镇压	枪毙
		阵地	腔
		蒸发	强化
		蒸汽	强盛
		挣扎	强制
		征	抢劫
		征服	抢救
		争夺	锹
		整	乔装
		整顿	侨胞
		整风	茄子
		整体	窃取
		正当	窃听
		正经	钦佩
		正面	侵害
		正义	侵蚀
		政党	侵占
		政权	亲笔
		症状	亲密
		挣	亲身
		证件	亲生
		证据	亲手
		证实	亲友
		证书	勤
		枝	勤奋
		支	勤工俭学
		支配	勤俭
		知	勤恳
		知识分子	芹菜
		之	禽
		之	轻便
		之类	轻工业
		之内	轻快
		之外	轻微
		职员	氢
		直达	蜻蜓
		直径	倾听
		殖民地	倾斜
		值	清查
		指标	清理
		指点	清新
		指南针	清早
		指头	清真寺
		指引	晴朗
		只得	情感
		志愿	情节
		至于	情理
		致	请柬
		制	请帖
		制止	请愿
		制作	庆贺
		智慧	穷苦
		质	秋收
		治疗	球队
		中部	球迷
		中断	求得
		中年	趋势
		中旬	趋向
		中医	区分
		忠诚	曲线
		忠实	屈服
		衷心	驱逐
		终身	取代
		种类	曲子
		肿	去世
		中	圈套
		种植	权
		周末	权威
		周年	权限
		粥	权益
		皱	泉
		皱纹	全都
		嘱咐	全会
		主持	全集
		主力	全力
		主权	全力以赴
		柱子	全民
		助	全心全意
		助手	犬
		铸	劝说
		住宅	劝阻
		注射	券
		注视	缺口
		祝愿	缺席
		驻	缺陷
		专	瘸
		专政	确保
		砖	确立
		转播	确切
		转达	确认
		转动	确信
		转化	确凿
		转入	群体
		转弯	燃
		转移	让步
		赚	扰乱
		转动	热潮
		桩	热泪盈眶
		装备	人道主义
		装饰	人格
		装置	人均
		幢	人情
		壮	人权
		壮大	人参
		壮丽	人身
		追求	人生
		着手	人事
		着重	人为
		资本	人性
		资本家	人质
		资本主义	仁慈
		资产阶级	任命
		资格	认定
		资金	认可
		姿势	日光
		姿态	荣誉
		子	融化
		子弹	融洽
		自豪	熔
		自来水	溶
		自满	溶化
		自身	溶解
		自始至终	容积
		自私	容量
		自相矛盾	容纳
		自信	容忍
		自言自语	绒
		自愿	柔和
		自治	如意
		自治区	如醉如痴
		自主	乳
		字典	入境
		字母	入口
		宗教	入侵
		宗派	入手
		总	入学
		总得	软件
		总而言之	锐利
		总共	瑞雪
		总算	弱点
		总之	撒谎
		走后门儿	腮
		走廊	三番五次
		走弯路	三角
		租	叁
		足	散发
		足	桑树
		祖父	扫除
		祖母	杀害
		祖先	刹车
		阻碍	沙
		阻力	沙滩
		阻止	沙土
		组成	砂
		组长	傻子
		嘴唇	厦
		罪	筛
		罪恶	筛子
		罪行	珊瑚
		尊重	山冈
		作风	山沟
		作物	山河
		作战	山脚
		座儿	山岭
			山水
			山头
			山腰
			闪耀
			擅长
			擅自
			善
			善良
			伤痕
			伤员
			商
			商标
			商榷
			商讨
			商议
			赏
			晌午
			上报
			上层
			上等
			上交
			上进
			上空
			上任
			上诉
			上台
			上涨
			尚
			梢
			捎
			烧饼
			烧毁
			少量
			少数民族
			哨
			奢侈
			舍
			摄
			涉及
			涉外
			社
			社员
			设立
			设施
			设置
			申报
			申述
			呻吟
			伸手
			伸展
			深奥
			深沉
			深处
			深化
			深浅
			深切
			深情
			深信
			深远
			深重
			绅士
			神奇
			神色
			神态
			神仙
			审
			审定
			审理
			审美
			审判
			审批
			审讯
			审议
			肾炎
			渗
			渗透
			声势
			声誉
			生产力
			生产率
			生机
			生命力
			生怕
			生前
			生人
			生疏
			生态
			生效
			生育
			生殖
			牲口
			牲畜
			升学
			省会
			省略
			盛
			盛产
			盛大
			盛开
			盛情
			盛行
			师
			师长
			失
			失事
			失误
			失效
			失学
			失约
			失踪
			施
			施肥
			施加
			施行
			施展
			湿度
			诗歌
			尸体
			十全十美
			十足
			石灰
			拾
			时
			时而
			时光
			时髦
			时事
			时装
			食
			食用
			食欲
			实
			实惠
			实力
			实体
			实物
			识
			识别
			史
			史料
			使节
			使命
			屎
			始
			式
			式样
			示范
			示意图
			侍候
			世
			世代
			世界观
			事变
			事例
			事态
			事项
			誓言
			势必
			释放
			市民
			视
			视察
			视觉
			视力
			视线
			视野
			试行
			试用
			试制
			收藏
			收成
			收复
			收购
			收回
			收买
			收益
			收支
			手电筒
			手法
			手巾
			手榴弹
			手艺
			首创
			首领
			首脑
			首席
			首相
			首要
			首长
			守法
			守卫
			授
			授予
			受伤
			输出
			输入
			输送
			舒展
			疏忽
			书法
			书刊
			书面
			书写
			书信
			属
			树干
			竖
			数额
			衰老
			衰退
			帅
			爽快
			水产
			水电
			水土
			水源
			水灾
			水蒸气
			税收
			顺序
			说谎
			说情
			斯文
			思
			思潮
			思前想后
			思绪
			私营
			私有制
