huayu1_Word	huayu2_Word	huayu3_Word	huayu4_Word	huayu5_Word	huayu6_Word	huayu7_Word
				设计	解答	基层
				设计	届	基地
				深	界线	基督
				深入	戒指	基因
				身边	今后	机动
				身高	金额	机警
				身上	金融	机率
				甚至	金属	机密
				升	尽管	机器人
				声	尽量	机制
				声调	紧急	肌肤
				生	仅仅	饥饿
				生产	近	畸形
				生动	近来	激增
				生活	近视	及早
				生命	尽力	吉利
				生意	进入	吉祥
				生字	进口	汲取
				省	禁止	即
				省钱	浸	即
				剩	精彩	即日
				剩下	精力	实时
				湿	精细	嫉妒
				失恋	经济	极端
				失去	经历	极端
				狮子	经历	极力
				十分	经营	极为
				石头	京剧	集合
				石油	惊人	集结
				时	警告	集权
				时代	警告	集体
				时刻	景色	集团
				实话	静	急救
				实际	镜(子)	急躁
				实力	敬爱	急诊
				实行	敬酒	籍贯
				实在	敬礼	击
				使得	净化	击落
				使用	竟然	计
				事实	竞争	暨
				事业	纠正	继承
				适应	酒会	季风
				市长	就	剂量
				收获	就是	纪律
				收音机	就是说	技能
				熟	就业	技艺
				首	救火	祭祀
				手套	究竟	家伙(ㄏㄨㄛ˙)
				手续	居民	家家户户
				受得了	居然	家电
				书包	局	家属
				书架	鞠躬	佳节
				蔬菜	巨大	佳人
				舒适	具	加紧
				叔叔	具	加快
				熟悉	具备	加薪
				数	具体	加重
				数字	俱乐部	枷锁
				树木	聚集	夹杂
				刷牙	距离	假
				帅	剧场	假若
				双	剧烈	假使
				水饺	剧院	假象
				水平	据说	架
				水平	捐	架(子)
				睡着	捐款	架构
				顺便	捐款	假期
				顺利	卷	煎
				说法	卷	监督
				说明	决/绝	尖端
				说明	决心	坚固
				说起来	决心	坚忍
				思考	绝不	坚信
				思想	绝大部分	坚硬
				似乎	绝对	兼职
				寺庙	觉悟	艰巨
				速度	军	艰苦
				算了	军事	艰难
				随便	卡	简便
				随时	卡	简称
				所	卡通	简化
				所	开	简体
				所谓	开除	检讨
				它	开刀	渐
				它们	开发	贱
				台	开户	溅
				抬	开课	见解
				台风	开明	见识
				态度	开设	见证
				谈话	开拓	建造
				堂	开演	健身
				堂	看家	健身房
				讨厌	砍	健壮
				套	看	将
				特地	看得起	将军
				特色	看看	奖励
				特殊	看来	奖赏
				提	看样子	奖状
				提到	抗议	讲理
				提高	考察	讲习
				提供	考卷	讲义
				题材	考虑	讲座
				题目	考取	交错
				体会	靠	交货
				体力	靠近	交集
				体贴	科	交情
				体重	科目	交涉
				替	颗	交谈
				天堂	可是	焦急
				天天	可喜	脚本
				天下	可笑	搅和
				田	客房	轿车
				填	客观	叫好
				甜点	客户	教官
				条件	课外	教化
				挑战	空	教诲
				贴	空前	教徒
				铁	空中	教学
				铁路	恐怖	教员
				听见	空/空儿	较量
				听力	控制	皆
				听起来	口	阶层
				听众	口才	阶级
				挺	口号	街坊(ㄈㄤ˙)
				通	口红	接管
				通过	口气	接连
				通知	口试	接纳
				同	口试	接洽
				同	口水	接下来
				同情	口音	揭幕
				同时	口语	揭晓
				同样	扣	截
				同样	夸奖	截
				痛苦	跨	洁白
				投	会计	节俭
				投资	宽度	节庆
				头	喇叭(ㄅㄚ˙)	竭力
				头痛	蜡烛	结实(ㄕ˙)
				图	辣椒	结业
				突然	来	结缘
				土	来回	捷运
				土地	来临	解答
				兔子	来往	解放
				团体	来信	解渴
				团圆	来源	解剖
				推	来自	解说
				推荐	篮子	解体
				推销	懒	解脱
				退步	懒得	解约
				退休	烂	届
				脱	滥用	届时
				娃娃	狼	戒
				外边	浪	戒备
				外公	浪费	借贷
				外婆	捞	借口
				外文	牢	介入
				外语	牢骚	金钱
				完成	劳动	金鱼
				完全	劳工	津贴
				玩具	劳力	紧凑
				晚	唠叨(ㄉㄠ˙)	紧密
				万一	老	紧缩
				网	老百姓	谨慎
				网络	老板娘/老板娘	近
				往往	老大	近
				忘记	老家	劲/劲儿
				维持	老实说	进场
				微笑	老太太	进度
				为主	乐意	进而
				伟大	类似	进攻
				为	冷静	进化
				未来	冷饮	进军
				位置	梨(子)	进修
				位子	理	进展
				温柔	理	晋级
				文件	理由	尽量
				文学	里/里头	禁令
				文字	礼	精
				闻	礼品	精光
				稳定	力气	精华
				问好	立	精明
				问候	立场	精髓
				握手	立即	精致
				屋子	利	经典
				无	利润	经济
				无法	利息	经书
				无论如何	例外	惊惶
				无穷	粒	惊奇
				无所谓	联合	惊喜
				误会	联合国	惊险
				物价	连	鲸鱼
				西北	连接	井
				西餐	连忙	警报
				西方	连续	警觉
				西南	脸色	警惕
				吸毒	量	警卫
				吸收	粮食	景观
				吸引	俩	景气
				牺牲	亮	景物
				希望	谅解	景象
				喜爱	了	净
				细	列	竟
				细心	裂	敬
				戏	淋	敬佩
				戏剧	临	境地
				系统	临时	静脉
				下	凌晨	静态
				下	灵活	竞赛
				下	零件	竞选
				下	零售	竞争
				下来	零下	揪
				吓	领带	纠纷
				吓一跳	领导	酒店
				线	领土	酒馆
				现代	领先	酒精
				现代	领袖	就
				现实	另	就绪
				现实	另外	救济
				现象	另外	救援
				限制	溜	居
				相当	流动	局部
				相对	流利	局面
				相反	留念	沮丧
				相关	喽	举例
				相同	搂	举止
				箱子	露	举重
				香水	路灯	巨人
				详细	路线	拒
				响	陆军	距
				想到	陆续	据
				想法	录用	据悉
				想象	轮船	聚餐
				想象	轮流	俱全
				项	轮子	捐献
				相机	论	捐赠
				相声	论文	决赛
				小吃	落	决议
				小朋友	落后	抉择
				小组	落实	绝大多数
				效果	落伍	绝迹
				笑话	旅行社	均
				孝顺	绿豆	均衡
				协助	略	均匀
				血	麻	军备
				谢	麻雀	军阀
				心得	马虎(ㄏㄨ˙)	军官
				心理	埋	军舰
				心意	买单	开办
				欣赏	买卖	开导
				新生	馒头	开动
				信	满/蛮	开发
				信箱	漫画	开饭
				信心	忙碌	开放
				兴奋	盲目	开口
				行	矛盾	开阔
				行动	毛巾	开路
				行为	冒	开幕
				形容	煤	开盘
				醒	梅花	开辟
				醒来	美观	开启
				姓	美妙	开头/开头儿
				性别	魅力	开销
				性格	门	开业
				幸好	门票	开展
				幸亏	门诊	开张
				幸运	猛	刊物
				凶	梦到	刊登
				兄弟	梦想	看守
				熊猫	梦想	康复
				修	迷	慷慨
				修改	迷糊	扛
				修理	迷失	抗争
				需求	迷信	考场
				需要	迷信	考古
				选	密	考虑
				选举	蜜蜂	考生
				选择	秘/秘书	考验
				选择	棉	烤肉
				学会	棉被	靠
				学问	棉花	刻画/划
				寻找	免得	科幻
				训练	勉强	苛责
				呀	面	壳
				鸭(子)	面对	可观
				押金	面临	可见
				牙	面貌	可望
				牙齿	面子	可行
				烟火	面粉	刻薄
				研究	妙	刻苦
				研究	灭亡	刻意
				严重	民间	客机
				演	民谣	课业
				演出	民众	克制
				演讲	民主	吭声
				演员	民主	空
				眼光	名	空旷
				眼泪	名	空难
				阳光	名称	空谈
				养	名单	空运
				样	名牌	孔
				样样	名片	恐吓
				邀请	明白	恐惧
				要求	明亮	口
				要求	明明	口头
				咬	明确	口吻
				要	命	扣除
				要不然	命令	苦工
				要不是	命令	苦难
				要紧	命运	苦恼
				野餐	磨	苦衷
				也好	模仿	库存
				页	模糊	夸
				夜里/里	模型	夸耀
				夜市	模样	跨越
				一下子/一下子儿	抹	快活
				衣柜	目标	快速
				依靠	目的地	宽广
				一块/一块儿	目录	宽阔
				一切	哪怕	款
				一向	奶粉	款待
				一样	耐心	款式
				已	耐用	狂风
				以	难道	狂妄
				以后	难得	矿产
				以来	难受	矿工
				以免	难以	亏
				以内	男性	昆虫
				以前	脑袋	捆
				以上	脑筋	困
				以外	闹	困境
				以为	闹区	困扰
				以下	内部	困扰
				一般来说	内地	扩建
				一点/一点儿	内行	扩散
				一方面	内科	扩张
				一连	能干	拉票
				一生	能源	腊月
				一时	泥	来宾
				一同	泥土	来得
				意见	粘	来客
				意外	黏	栏
				意义	黏	拦
				阴	尿	懒惰
				因此	尿	懒散
				音响	捏	朗读
				引起	宁可	朗诵
				应	宁愿	浪费
				应该	钮扣	牢
				英俊	农场	劳改
				营养	农产品	劳累
				影片	农村	老年
				拥有	农民/农夫	老人家
				用	农药	老鼠
				用法	浓	老天爷
				用功	浓厚	老头儿/老头子
				用品	暖	老乡
				优点	暖和	老子
				优秀	暖气	雷
				幽默	女性	雷达
				邮票	偶然	雷同
				尤其	排	累积
				游客	排	类似
				游泳池	排斥	类型
				由于	排列	冷冻
				有(一)点/有(一)点儿	排球	冷汗
				有的	派	冷门
				有名	攀	冷清
				有钱	盘	勒索
				有效	判断	哩
				有意思	泡	黎明
				友谊	炮	罹难
				于是	炮	里程
				与	赔	理财
				与	赔偿	理论
				玉	陪同	理所当然
				玉米	佩服	理性
				预备	喷	理学
				预习	盆	理智
				遇到	膨胀	礼服
				圆	捧	礼节
				员工	碰见	礼貌
				原谅	匹	力求
				原因	批	力行
				愿望	批	力学
				院子	批判	立国
				约	皮	立即
				约会	披	立体
				约会	疲倦	利率
				越	疲劳	利弊
				月饼	脾气	例
				阅读	屁股(ㄍㄨ˙)	例
				乐团	篇	历届
				运气	偏/偏偏	历来
				在	偏食	历年
				在意	偏向	联
				在于	骗	联
				早	片面	联盟
				早日	片子	联系
				早晚	飘	联想
				造成	拼命	连带
				噪音	贫穷	连结
				责任	品德	连任
				增加	聘请	联机
				炸/炸	凭	廉价
				摘	平常	廉洁
				站	平衡	脸庞
				暂时	平静	脸谱
				战争	平均	良机
				长	婆婆	两极
				长大	颇	两口子
				掌握	破烂	辽阔
				障碍	破裂	列
				招待	迫切	列车
				招牌	扑	列国
				找钱	扑灭	列入
				照	铺	猎人
				照	普及	烈士
				哲学	普通	临
				这里	普通话	临
				这下子	瀑布	临床
				这样	欺骗	邻里
				这样子	妻子	铃
				这样子	期	灵
				真的	期	灵感
				真理	期限	灵验
				真实	其	领队
				真是	其余	领会
				真心	棋	领悟
				真正	齐	令
				真正	齐全	另
				珍贵	旗袍	溜冰
				整	旗子	留
				整理	歧视	流程
				整齐	起	流传
				正	起	流落
				正常	起初	流氓
				正确	起火	流失
				正式	企图	流水
				证明	企图	流通
				证书	汽油	流星
				支	器材	流域
				知	器官	柳树
				知识	气氛	笼子
				之后	气愤	笼罩
				之间	气候	垄断
				之前	气味	楼房
				直	气息	漏
				直到	气象	炉子
				值得	千万	陆地
				殖民地	牵	路过
				植物	迁	露天
				职员	签	录像
				指	签订	录像机
				只是	签约	轮廓
				只要	签字	伦理
				只有	前方	沦陷
				只有	前进	论
				制度	前头	论点
				智慧	前途	卵
				至少	前往	啰嗦
				至于	前院	锣
				中	欠	逻辑
				中部	歉意	落得
				中餐	枪	落魄
				终于	强	落选
				钟	强大	骆驼
				种	强度	驴
				重点	强烈	铝
				重视	强迫	旅费
				周围	强人	旅途
				主动	墙壁	旅行
				主妇	抢救	旅游
				主管	敲	履历
				主人	瞧	履行
				主任	巧	略
				主题	巧妙	麻醉
				主要	悄悄	马铃薯
				主要	切	埋伏
				主意	且	买卖
				祝	亲爱	买主
				祝福	亲口	迈
				祝福	亲戚	迈进
				助	亲人	麦子
				助理	侵害	卖座
				著名	侵入	瞒
				抓	勤劳	蛮横
				专心	寝室	满怀
				专业	青	漫长
				状态	清	蔓延
				追求	清晨	盲从
				准时	清除	盲人
				着	清楚	芒果
				资料	清淡	茫然
				资源	清晰	毛毯
				仔细	清醒	茂密
				自从	轻伤	冒险
				自动	轻视	枚
				自然	倾向	眉毛
				自杀	情书	眉头
				自信	情绪	媒体
				自由	秋季	每每
				自由	求婚	美满
				自在	球队	美容院
				宗教	球鞋	美食
				总而言之	曲折	美洲
				总算	区别	闷
				总统	区别	闷热
				总之	区域	门户
				走走	取	蒙
				组	取得	猛
				祖父	取笑	猛烈
				祖母	取消	梦见
				祖先	娶	谜
				嘴	去	谜语
				醉	圈	迷宫
				最初	全家	迷惑
				最多	全面	迷恋
				最好	全面	弥补
				最后	全体	密集
				最佳	拳头	蜜
				最近	权利	鸣
				尊敬	劝	明白
				作	缺	明理
				作品	缺乏	明日
				作者	缺少	明智
				座	缺席	名额
				做/作法	确实	名号
				做梦	群	名气
				做人	群众	名胜
				做事	然而	名声
					燃料	名堂
					燃烧	名下
					染	冥想
					让	命名
					让步	命中
					绕	绵延
					惹	勉强
					惹	免税
					热爱	免疫
					热烈	面孔
					热门	面谈
					热情	描绘
					热情	描述
					热心	民俗
					人才	民营
					人格	敏感
					人工	敏捷
					人力	灭
					人情味/人情味儿	模范
					人权	模具
					人生	模式
					人事	魔术
					人体	末
					人心	末期
					人行道	墨
					人员	没落
					忍不住	没收
					忍受	默默
					忍心	默契
					任	漠视
					任性	谋生
					日常	某些
					日后	亩
					日用品	母语
					容	木材
					融化	木刻
					荣幸	木料
					如	木偶
					如果说	沐浴
					如何	目睹
					如何	目光
					如今	目击
					如同	牧场
					入	幕
					入境	募集
					入口	拿
					入学	纳闷
					软	纳入
					塞	纳税
					赛跑	乃
					三角形	耐
					散	耐力
					散	男方
					丧失	南极洲
					艘	难度
					扫	难关
					色彩	难免
					色情	难题
					沙	难民
					沙漠	囊括
					沙滩	脑海
					沙子	脑力
					杀价	内阁
					傻	内涵
					晒太阳	内销
					山地	内在
					闪	内战
					闪	内政
					善于	能量
					扇子	拟
					伤	拟定
					伤	腻
					伤脑筋	粘
					商标	念头
					商场	娘
					商量	娘家
					上	凝固
					上级	凝结
					上升	凝聚
					上市	凝视
					上述	扭转
					上台/台	农具
					上头	农田
					上下	农作物
					上游	弄错
					稍	奴隶
					稍微	努力
					少数	怒气
					少年	暖
					少女	挪
					舌头	懦弱
					舍不得	诺言
					舍得	女方
					射	虐待
					社会	欧洲
					社交	偶而/尔
					社团	趴
					设立	拍马屁
					设置	拍摄
					摄影	拍照
					申请	拍子
					伸	排除
					伸手	排挤
					身材	排名
					身分/份	派出所
					身分/份证	派对
					深刻	派遣
					深浅	派头
					深夜	判
					神	盼
					神话	旁人
					神经	旁听
					神秘	抛
					神奇	抛弃
					神气	跑道
					神圣	泡
					神仙	泡沫
					审查	陪伴
					慎重	培训
					升	培育
					升高	配
					升级	配
					升学	配给
					生	配音
					生存	喷漆
					生肖	盆地
					生长	蓬勃
					声	捧场
					绳(子)	批发
					省	批准
					省得	疲惫
					胜	匹
					胜利	譬如
					失败	偏差
					失掉	便宜(一˙)
					失眠	便宜(一˙)
					失望	片
					失业	片刻
					湿	票
					诗	拼
					诗人	贫苦
					师父(ㄈㄨ˙)	贫民
					师傅	品味
					师母	品种
					施工	乒乓球/桌球
					时常	平凡
					时机	平面
					时期	平稳
					时时	平行
					食品	评估
					实用	评价
					实在	评论
					实施	泼
					实现	婆家
					实验	破案
					实验	破产
					使	破除
					始终	破获
					示威	破例
					式样	破碎
					世	迫害
					世纪	魄力
					市立	朴素
					市民	曝光
					市区	暴露
					视	漆
					视野	凄凉
					适当	欺侮
					适合	奇观
					适用	奇迹
					是非	奇妙
					是否	奇异
					事件	期待
					事实上	期货
					事物	期望
					事先	旗帜
					势力	乞丐
					试验	启
					收据	启发
					收看	启示
					收入	启事
					收拾	起步
					手电筒	起伏
					手段	起码
					手工	起源
					手术	气概
					首	气管
					首都	气派
					首先	气势
					受	气体
					受	气压
					受不了	契机
					受到	弃权
					售	恰当
					寿命	恰好
					疏忽	恰恰
					书房	洽商
					书籍	洽谈
					输出	铅
					输入	牵连
					熟	签署
					熟练	千万
					熟人	谦逊
					属	前辈
					属于	前程
					暑期	前后
					束	前景
					数	前科
					数量	前提
					数目	潜藏
					树林	潜力
					刷	虔诚
					刷(子)	浅薄
					刷卡	浅显
					耍	腔调
					摔	墙角
					衰退	强劲
					甩	强求
					率领	强权
					双	强壮
					双胞胎	瞧不起
					双方	桥梁
					水分/份	巧合
					水灾	俏
					税	翘
					说服	峭壁
					顺	逃课
					顺	切磋
					顺手	且
					顺序	且
					说不定	切实
					硕士	窃贼
					丝	亲
					撕	亲热
					私立	亲身
					私人	亲生
					思索	侵犯
					死	侵略
					死亡	侵蚀
					四处	侵袭
					四处	钦佩
					四方	琴
					四季	勤奋
					四周/周	青春
					饲养	青翠
					松	青蛙
					送行	清澈
					俗	清洁
					俗话	清静
					俗话说	清廉
					算	清幽
					算起来	清扫
					算是	倾向
					算账	轻薄
					随	轻蔑
					随手	轻易
					随意	情报
					随着	情操
					碎	情妇
					岁数	情节
					孙女	情景
					孙子	情侣
					损失	情趣
					损失	庆幸
					缩	丘陵
					缩短	求学
					缩水	求助
					锁	屈服
					锁	趋势
					塌	渠道
					踏	取材
					抬头	取缔
					太空	取样
					摊子	取悦
					弹	趣味
					谈判	圈
					毯子	圈子
					探	拳
					探亲	全力
					探讨	全盘
					趟	权力
					烫	权威
					烫	权益
					掏	泉源
					逃	劝导
					逃避	劝告
					逃走	缺陷
					陶瓷	确保
					淘气	确切
					桃子	确实
					讨	群岛
					套	群居
					套	染料
					特别	嚷
					特点	饶
					提	热潮
					提起	热带
					提前	热量
					提醒	热水瓶
					提早	仁爱
					题	人次
					体温	人道
					体验	人祸
					天才	人际
					天空	人情
					天然	人群
					天文	人士
					天真	人手
					天主教	人选
					田野	人造
					挑	忍痛
					挑选	任
					条	任期
					条约	任意
					调	认错
					调整	认定
					跳高	日程
					跳远	日光灯
					贴心	日益
					停止	容
					挺	容量
					挺	容纳
					通	容器
					通	容许
					通常	溶
					通过	溶化
					通信	融合
					通讯	融洽
					同	荣誉
					同	揉
					同胞	柔软
					同志	肉麻
					铜	肉体
					桶	如此
					统计	儒家
					统一	入超
					统治	入口
					痛快	入世
					偷/偷偷	软弱
					头	软件
					头脑	若
					投票	若干
					投入	撒谎
					投降	撒
					投资	洒
					透	塞车
					透过	赛
					秃	散文
					突出	散布/布
					突破	丧事
					突破	嗓子
					途径	丧生
					图书	骚动
					图章	嫂子
					吐	色泽
					团	剎/煞车
					团结	色拉
					推动	沙哑
					推翻	傻瓜
					推广	山峰
					退	山谷
					退出	山脉
					退回	闪电
					吞	闪烁
					拖	闪耀
					拖鞋	擅长
					托儿所	伤害
					脱离	伤口
					妥当(ㄉㄤ˙)	伤亡
					妥善	商榷
					妥协	商讨
					哇	赏
					挖	尚
					歪	上吊
					外部	上好
					外出	上进
					外地	上空
					外观	上路
					外行	上门
					外汇	上司
					外交	上下
					外界	上旬
					外科	上演
					外头	上瘾
					弯	上涨
					弯腰	烧香
					完毕	奢侈
					完善	奢望
					完整	设
					玩笑	设施
					晚辈	设想
					往	射击
					望	射手
					威胁	涉及
					威胁	涉嫌
					围	社论
					违反	小区
					维护	摄取
					维他命	摄氏
					危机	摄影机
					为难	深奥
					唯一	深沉
					尾巴	深度
					委屈	深厚
					委托	深切
					委员	深入
					未	深造
					未婚	身段
					位于	身教
					味/味儿	身为
					味精	身子
					为何	伸张
					卫生	神
					卫生纸	神情
					卫星	审核
					慰问	审判
					温和	审慎
					文法	审议
					文具	甚
					文凭	渗入
					文物	生词
					文艺	生火
					蚊子	生理
					吻	生平
					吻	生气
					稳	生前
					握	生人
					卧房	生死
					污/污染	生态
					无可奈何	生物
					无论	生效
					无情	生硬
					无数	生育
					无限	生育
					无意	生殖
					武器	升迁
					武术	升值
					舞	声称
					舞蹈	声明
					舞台/台	声势
					舞厅	省
					勿	省事
					物理	盛
					物质	盛情
					误	盛行
					误	盛装
					误点	胜地
					误会	圣贤
					雾	失
					西装	失灵
					吸	失落
					吸取	失明
					吸食	失事
					吸烟	失手
					媳妇	失踪
					喜酒	师范
					喜剧	施肥
					系列	施行
					细胞	尸体
					细节	石膏
					细菌	十足
					细小	拾
					瞎	时差
					虾(子)	时光
					虾米	时节
					下巴	时髦
					下降	时效
					下来	实地
					下棋	实践
					下去	实况
					下午茶	实例
					下游	实习
					夏季	实证
					先进	实质
					鲜	屎
					鲜花	史料
					鲜奶	使唤
					鲜血	使节
					闲	使劲
					嫌	使命
					显得	士兵
					显然	仕女
					显示	示范
					显著	市面
					现	市容
					现场	世代
					现成	世间
					现金	世事
					羡慕	试卷
					限制	试图
					相	逝世
					相处	势必
					相当	事故
					相互	事变
					相亲相爱	事态
					相似	事务
					箱	事宜
					香肠	释放
					乡村	嗜好
					想不到	视为
					想念	室友
					享受	适宜
					享有	适中
					响应	收藏
					象	收费
					相片/相片儿	收集
					相亲	收买
					巷(子)	收缩
					向来	收听
					项目	收益
					消	手册
					消除	手枪
					消费	手势
					消费	守
					消化	守护
					消极	首府
					消灭	首领
					消失	首席
					消/宵夜	首饰
					销路	首先
					销售	首长
					小便	受害
					小费	受训
					小麦	售货员
					小气	授课
					小腿	狩猎
					小子	寿星
					晓得	疏导
					校车	疏散
					校友	梳
					效率	书本
					笑容	书面
					歇	书写
					斜	舒畅
					血管	舒展
					血型	输血
					血液	束缚
					心灵	树苗
					心目中	数据
					心声	率
					心跳	霜
					心脏	双重
					新郎	双打
					新娘	爽快
					新式	水道
					新兴	水稻
					薪水	水晶
					信号	水库
					信任	水力
					信仰	水泥
					信仰	水源
					信用	水蒸气
					星光	睡眠
					行程	顺从
					行动	顺应
					行人	瞬间
					形成	说谎
					形式	说笑
					形象	思潮
					形状	思念
					性质	思维
					雄伟	丝毫
					休假	司令
					休闲	斯文
					修正	私心
					需	赐
					须知	似的/地
					许	松树
					许愿	怂恿
					宣布/布	搜集
					宣传	俗称
					宣传	俗语
					悬	塑料
					选手	诉苦
					靴(子)	素食
					学会	素质
					学历	算命
					学术	算术
					学位	虽说
					学业	随
					学者	随
					雪花	随后
					削减	随即
					寻	随身
					循环	随同
					迅速	隧道
					压	岁月
					压力	损
					压迫	损害
					牙膏	损坏
					烟/烟	损伤
					沿	缩小
					严	所得
					严格	所在
					严肃	索赔
					盐巴	琐碎
					延长	牠
					癌症	他人
					演唱	塔
					演奏	踏实
					掩盖	台
					宴会	台阶
					厌恶	太极拳
					痒	太平
					氧气	态势
					样品	贪
					哟	贪心
					腰	摊位
					摇	痰
					摇摆	谈论
					摇头	弹性
					要不	坦克
					要好	坦然
					要命	探病
					药方	探究
					药水	探索
					药物	探望
					野	探险
					野兽	汤圆
					野心	堂堂
					夜景	倘若
					夜晚	陶器
					业务	逃生
					业余	逃税
					叶子	淘汰
					一一	套房
					衣裳	套装
					依据	特此
					依然	特区
					医	特权
					医师	特约
					医学	特征
					一带	疼爱
					一旦	剔除
					一大早	啼
					一面	提拔
					一再	提倡
					一致	提出
					移	提及
					移动	提名
					移民	提升
					疑问	提议
					仪器	体操
					仪式	体格
					乙	体积
					已婚	体谅
					以	体面
					以便	体系
					以及	体质
					以往	替代
					一般而言	添
					一口气	天敌
					一旁	天然气
					一齐	天性
					一天到晚	天灾
					易	田地
					意识	田径
					意外	甜美
					意愿	挑剔
					意志	调和
					亿	调和
					义务	调节
					议会	调皮
					因而	条例
					因素	挑战
					银	听写
					引发	停顿
					饮	停留
					饮食	停滞
					印	通
					印刷	通报
					印象	通车
					印章	通称
					应当	通货膨胀
					婴儿	通缉
					英雄	通行
					赢得	通用
					迎接	同伴
					营养	同化
					营业	同乡
					复印件	同心
					影印	同性恋
					影子	同业
					硬	统计
					应付	统统
					应邀	统制
					应用	痛恨
					拥抱	偷渡
					拥护	偷懒
					拥挤	投保
					勇气	投机
					用不着	投入
					用处	透明
					用得着	徒弟
					用具	突击
					用力	突兀
					用心	涂
					忧郁	图
					优惠	图表
					优良	图画
					优美	图腾
					优越	土壤
					由	团
					油	团聚
					油腻	团员
					游	推测
					邮差	推崇
					邮件	推出
					游戏	推选
					游戏	退化
					游行	吞吞吐吐
					犹豫	托
					友好	拖
					有关	拖累
					有关	拖延
					有力	脱身
					有利	脱手
					有些	瓦斯
					有些	外表
					娱乐	外号
					语调	外力
					语气	外贸
					语音	外线
					与其	外销
					遇	外遇
					遇见	外在
					预报	外资
					预定	外祖父
					预订	外祖母
					预计	弯曲
					预算	完备
					预先	完美
					冤枉	玩弄
					元旦	顽强
					原来	挽
					原理	挽救
					原料	万分
					原始	万事
					原先	万岁
					原则	万万
					原则上	万物
					原子笔	惋惜
					圆满	亡国
					圆形	往来
					缘故	旺季
					远大	旺盛
					愿	威风
					月份	威力
					月光	萎缩
					月球	为
					晕	为人
					允许	为生
					运输	为首
					运送	为止
					运用	违背
					运转	违约
					砸	危害
					杂	围巾
					灾害	围墙
					灾难	围绕
					在	微弱
					在乎	微小
					再度	维生素
					再说	胃
					载	胃口
					咱们	未必
					赞成	未婚夫
					赞同	未婚妻
					赞美	未免
					葬礼	卫生
					糟	温
					糟糕	温带
					遭到	温泉
					遭受	温习
					遭遇	温驯
					早晨	瘟疫
					早点	文明
					早点	文坛
					早晚	文献
					早已	闻名
					造	稳健
					造句	紊乱
					则	问世
					则	卧
					怎	乌龟
					增长	乌龙茶
					赠品	乌鸦
					赠送	污染/污染
					窄	无比
					展出	无线电
					展开	无形
					展览	无疑
					展览	五金
					展示	武力
					占/占	武士
					占/占	武装
					占/占有	侮辱
					站住	物产
					战场	物品
					张	物体
					章	物资
					长	误差
					长辈	误解
					涨	务实
					涨价	西服
					掌声	西洋
					账单	西医
					丈夫	溪流
					招呼	席
					招手	席位
					照	锡
					照常	袭击
					召开	昔日
					折	习题
					折合	洗礼
					折扣	喜气
					折磨	喜悦
					者	系
					针	戏曲
					针对	瑕疵
					侦探	峡谷
					珍惜	狭小
					珍珠	狭窄
					真心	下笔
					枕头	下跌
					阵	下滑
					阵子	下列
					震动	下水
					争	下水道
					争论	下旬
					争取	掀
					睁	仙丹
					征求	先后
					正月	先进
					整	先驱
					整	先天
					整洁	鲜明
					整数	鲜艶/艳
					正	纤维
					正方形	嫌疑
					正规	显现
					正好	限
					正好	限度
					正经	宪法
					正面	线路
					政策	陷入
					政党	献身
					政府	现今
					证件	现行
					证据	现状
					证明	相传
					证实	相仿
					症状	相符
					之	相继
					之	相配
					之后	乡土
					之间	香皂
					之类	镶
					之前	想开
					支	响亮
					支持	向
					支出	项
					支票	向导
					支援	向往
					直	象征
					直接	象征
					直线	消毒
					值	消防
					掷	消耗
					职位	消遣
					执行	消遣
					止	潇洒
					只	逍遥
					只是	小贩
					指	小伙/伙子
					指出	效法
					指导	效劳
					指定	效力
					指示	效忠
					指示	笑嘻嘻
					指责	孝子
					纸张	协办
					治	协定
					至	协会
					制定	协商
					制止	协调
					志气	协调
					志愿	协议
					秩序	协议
					制造	血汗
					制作	血迹
					中	血压
					中级	写实
					中年	写作
					中途	泄气
					中央	心爱
					中药	心软
					肿	心事
					种类	心思
					种子	心酸
					种族	心态
					中	心疼
					中毒	心胸
					重	辛勤
					重大	辛酸
					重量	新潮
					重伤	新手
					重伤	新颖
					重心	信赖
					州	信念
					周/周	信徒
					周到	信息
					粥	星辰
					竹(子)	星座
					逐渐	兴建
					主办	兴隆
					主持	兴起
					主观	行善
					主角/角	行使
					主席	行星
					主张	行政
					主张	刑事
					祝贺	形势
					住院	形态
					住宅	形体
					住址	形形色色
					注射	型态
					注册	性
					专家	性能
					专利	性情
					专门	兴致
					专人	胸
					专业	胸口
					转	修补
					转变	修订
					转播	修建
					转达	修女
					转告	修养
					转机	修筑
					转身	绣
					转向	须
					转	虚拟
					赚	虚心
					装饰	许
					壮	许多
					撞	许久
					状况	许可
					追	酗酒
					准	序幕
					准考证/证	叙述
					准	宣称
					准确	宣告
					捉	宣示
					桌	宣誓
					资本	宣言
					资格	宣扬
					资金	旋律
					信息	旋转
					紫	悬殊
					子女	悬崖
					字幕	选拔
					字母	选购
					自来水	选民
					自然	选票
					自私	选修
					自我	学分
					自信	学科
					自愿	学年
					自主	学识
					总	学说
					总共	学徒
					总理	学员
					综合	学制
					综合	雪人
					走道	削弱
					走私	循环
					足	巡逻
					足以	巡视
					组	询问
					组织	训
					阻碍	押
					阻止	鸦片
					祖国	压岁钱
					钻	压缩
					钻石	压制
					罪	牙科
					最少	芽
					遵守	哑
