HGJ_level_1.1_Word	HGJ_level_1.2_Word	HGJ_level_1.3_Word	HGJ_level_2_Word	HGJ_level_3_Word	HGJ_level_4_Word		
	问路	突出	渡	董事会	空想		
	问题	图	端	董事长	控告		
	握手	图画	端午节	懂事	口吃		
	武术	土	短片	动不动	口令		
	西餐	团	锻炼	动荡	扣留		
	西医	团结	堆	动感	扣人心弦		
	希望	团体	队伍	动工	哭笑不得		
	习惯	推动	对比	动静	苦力		
	洗衣机	推广	对付	动脉	苦练		
	洗澡	推进	对抗	动身	苦心		
	系	推开	对立	动弹	酷似		
	下	退	对外	动听	夸奖		
	下周	退出	对应	动向	夸夸其谈		
	夏天	托	吨	动用	夸耀		
	线	托儿所	蹲	冻结	宽泛 		
	相同	外地	多半	栋	宽厚		
	相信	外交	多次	兜	款项		
	香	外文	多媒体	兜儿	矿藏		
	响	完美	多年	抖	框架		
	想到	完善	多种	陡	亏本		
	想法	完整	夺	斗	阔绰		
	相机	玩具	夺取	斗志	来龙去脉		
	像	晚报	朵	豆浆	狼狈		
	消息	万一	躲	豆子	劳累		
	小	网友	恶心	逗	唠叨		
	小声	网站	恩人	督促	老伴儿		
	小时候	往往	儿科	独	老大		
	小心	危害	儿女	独唱	老实说		
	校长	危机	儿童	独家	涝		
	鞋	为	而	独身	棱角		
	心里	围	而是	堵塞	冷淡		
	心情	伟大	耳朵	杜绝	冷冻		
	新闻	卫星	耳机	妒忌	冷酷无情		
	信	温暖	二手	度	冷落		
	信心	文件	发病	度假	离谱儿		
	行李	文明	发布	渡过	礼服		
	幸福	文学	发电	端正	理睬		
	姓	文章	发放	短缺	理所当然		
	休假	文字	发挥	短暂	理直气壮		
	修	屋子	发觉	段落	力不从心		
	需要	无法	发怒	断定	力所能及		
	许多	无论	发票	断断续续	立功		
	选	午睡	发起	断裂	励志		
	学费	武器	发烧	堆砌	利索		
	学校	舞台	发射	对策	连滚带爬		
	雪	西北	发行	对称	怜惜		
	压	西部	发言人	对得起	帘子		
	研究	西方	发炎	对联	脸颊		
	颜色	西南	罚	对照	恋恋不舍		
	眼	先后	罚款	对准	寥寥无几		
	演	先进	法	兑换	潦草		
	演员	显得	法官	兑现	了结		
	羊	显然	法规	敦促	了却		
	阳光	显示	法律	顿时	咧嘴		
	养	现场	法庭	多边	裂痕		
	样子	现代	法语	多方面	临街		
	要求	现金	法制	多亏	灵机一动		
	药	现实	番	多年来	领悟		
	要是	现象	番茄	多心	领养		
	爷爷	相比	翻	多余	溜达		
	也许	相当	翻译	多元	留恋		
	页	相关	凡事	多种多样	流氓		
	一定	相互	烦	夺魁	流淌		
	一共	相似	繁荣	躲避	流转		
	一会儿	想起	繁殖	躲藏	遛		
	一路平安	项	反	堕落	笼统		
	一路顺风	项目	反而	鹅	芦花		
	一切	像	反抗	额外	卤味		
	已经	消费	反响	恶	鲁莽		
	以为	消失	反映	恶化	路段		
	椅子	小说	返回	恶劣	铝		
	一般	小组	犯	恶性	屡次		
	一直	校园	犯规	恶意	绿地		
	亿	笑话	犯罪	遏制	孪生		
	意见	笑话儿	饭馆	恩情	略微		
	意思	效果	方	而已	抡		
	意义	写作	方	耳光	轮换		
	音乐	血	方案	二手车	络绎不绝		
	音乐会	心中	方针	二氧化碳	落差		
	银行	信	防范	发布会	麻痹		
	印象	信号	防守	发财	麻将		
	英语	信任	防治	发愁	麻辣		
	营养	信息	房东	发电机	马后炮		
	影响	信用卡	房租	发抖	马戏		
	永远	星星	仿佛	发光	埋没		
	优点	行动	放大	发火	卖弄		
	邮局	行人	放到	发酵	脉络		
	邮票	行为	放弃	发掘	慢慢来		
	油	形成	放松	发脾气	忙乱		
	游	形式	飞船	发起人	矛头		
	游戏	形象	飞行员	发热	冒犯		
	游泳	形状	非	发誓	冒昧		
	友好	幸运	肥	发泄	没辙		
	有空儿	性	肺	发扬	眉开眼笑		
	有意思	积极性	分布	发育	美中不足		
	右	性格	分成	发作	美滋滋		
	右边	修改	分工	阀门	门当户对		
	鱼	需求	分解	发型	门路		
	雨	宣布	分类	帆	萌发		
	语言	宣传	分离	帆船	朦胧		
	元	选举	分裂	翻来覆去	迷惑不解		
	原来	选手	分散	凡	迷恋		
	原因	学期	分手	烦恼	谜底		
	愿望	训练	分为	烦躁	谜团		
	愿意	压力	分析	繁华	谜语		
	约	烟	分享	繁忙	秘方		
	月亮	研制	分组	繁体字	密不可分		
	越	眼前	纷纷	繁重	密封		
	越来越	演唱会	粉丝	反驳	蜜月		
	运动	演出	奋斗	反差	免职		
	杂志	药片	愤怒	反常	缅怀		
	在	药水	丰收	反倒	面红耳赤		
	咱们	夜	风暴	反感	面面俱到		
	脏	夜里	风度	反过来	面目全非		
	早晨	衣架	风格	反击	苗条		
	怎么办	依据	风光	反馈	苗头		
	增加	依靠	风景	反面	瞄准		
	站	一部分	风俗	反思	庙会		
	张	一路	封	反弹	灭绝		
	长大	一下子	封闭	反省	名副其实		
	掌握	一致	疯	返还	名利		
	着急	以来	疯狂	饭碗	铭记		
	照顾	以上	峰会	泛滥	没落		
	照片	以外	奉献	范畴	莫名其妙		
	照相	以下	佛	贩卖	漠然		
	这边	一点点	佛教	方向盘	默读		
	这时	一方面	否则	方言	默默无闻		
	这时候	一生	夫妇	防盗	谋害		
	整个	义务	夫妻	防盗门	目不转睛		
	整齐	艺术	扶	防护	目瞪口呆		
	正常	意外	服	防卫	目中无人		
	正好	因此	服从	防御	墓碑		
	正确	银	浮	妨碍	墓地		
	证明	银行卡	符号	房价	耐人寻味		
	之后	应当	符合	仿	耐性		
	之间	英文	幅	访谈	难得一见		
	之前	英雄	幅度	纺织	难说		
	之一	迎接	福利	放过	难以置信		
	支	影片	辅助	放映	挠		
	支持	影视	腐败	放置	恼羞成怒		
	知识	应用	妇女	放纵	闹事		
	直接	优势	父子	飞速	内存		
	值得	由	付	飞往	内行		
	职业	由于	付出	飞翔	泥潭		
	只	游客	负	飞跃	逆		
	只能	有的是	负担	非	匿名		
	只要	有利	负责人	非得	年迈		
	只有	有效	妇女	非凡	黏		
	纸	与	附近	肥料	念念不忘		
	至少	语音	复苏	肥胖	浓重		
	中餐	预报	复习	肥沃	弄虚作假		
	中级	预防	复制	肥皂	暖烘烘		
	中心	预计	副	废	拍板		
	中医	员	副	废除	徘徊		
	终于	服务员	富人	废话	判定		
	种	员工	富有	废品	旁观		
	周	院	改革	废物	跑龙套		
	周围	院长	改善	废墟	陪葬		
	主人	院子	改正	沸腾	抨击		
	主要	月份	改装	费劲	烹调		
	住院	运输	盖	分辨	鹏程万里		
	注意	咱	概括	分担	碰钉子		
	祝	早就	干脆	分割	劈		
	抓	早已	干扰	分红	疲惫不堪		
	抓住	造	干涉	分化	僻静		
	专业	造成	干预	分泌	偏方		
	转	责任	甘心	分明	撇		
	装	怎样	肝	分歧	品行		
	追	增长	杆	芬芳	聘任		
	准备	展开	赶不上	吩咐	平常心		
	自己	占	赶忙	氛围	萍水相逢		
	自行车	张	赶上	坟	泼冷水		
	自由	招生	敢于	坟墓	迫不及待		
	字典	招手	感冒	粉	破除		
	总是	照	感人	粉碎	扑面而来		
	总	真实	感兴趣	分量	菩萨		
	租	真正	刚好	分外	七嘴八舌		
	足球	争	钢笔	奋力	沏		
	组	争取	钢琴	粪	齐心协力		
	组成	整	岗位	粪便	奇花异草		
	组织	整理	港口	丰富多彩	棋子		
	嘴	整体	高层	丰厚	旗袍		
	最近	整天	高潮	丰满	岂有此理		
	左	整整	高大	风波	起步		
	左边	正	高档	风采	起劲		
	左右	正式	高等	风范	起跑线		
	作为	正是	高峰	风浪	迄今为止		
	作文	证	高考	风力	恰到好处		
	作业	证件	高科技	风貌	恰恰相反		
	座	证据	高尚	风气	恰如其分		
	座位	政府	高手	风情	千家万户		
	做到	政治	高铁	风趣	千军万马		
		之内	高温	风沙	千钧一发		
		之外	高于	风尚	迁就		
		之下	高原	风味	牵制		
		之中	稿子	风雨	前赴后继		
		只	割	风云	前任		
		直	歌唱	风筝	前所未有		
		直	歌曲	封建	前无古人		
		直播	歌星	封面	前仰后合		
		直到	革命	封锁	虔诚		
		值	革新	疯子	潜能		
		职工	格外	蜂蜜	潜移默化		
		只好	隔	逢	欠缺		
		只是	隔壁	缝	歉意		
		指	隔开	讽刺	呛		
		指出	个别	凤凰	强加		
		指导	个体	缝	强项		
		至今	各个	否决	强占		
		志愿	根	扶持	敲边鼓		
		志愿者	跟前	服饰	撬		
		制定	跟随	服务器	切除		
		制度	更换	服用	切割		
		制造	更新	俘获	切身		
		制作	更是	俘虏	窃取		
		治	工程	浮现	侵权		
		中华民族	工会	浮躁	亲和力		
		中年	工商	辐射	勤工俭学		
		中央	工艺	福气	寝室		
		钟	公	抚摸	青蛙		
		种子	公安	抚恤	轻而易举		
		重大	公告	抚养	轻蔑		
		重点	公鸡	斧子	轻型		
		重视	公认	俯首	倾家荡产		
		周年	公式	辅导	清单		
		主持	公益	腐化	清淡		
		主动	公元	腐烂	清净		
		主任	公正	腐朽	情不自禁		
		主席	公众	付费	情调		
		主意	公主	付款	情怀		
		主张	攻击	负面	情谊		
		住房	供给	附	求婚		
		专家	供应	附加	求医		
		专门	宫	附属	求证		
		专题	巩固	赴	取而代之		
		转变	共	复发	取经		
		状况	共计	复合	去除		
		状态	共识	复活	圈套		
		准	共享	复兴	权衡		
		准确	贡献	副作用	权益		
		资格	沟	赋予	全力以赴		
		资金	沟通	富豪	全心全意		
		子女	狗	富强	确凿		
		自从	构成	富翁	燃气		
		自动	构建	富裕	饶恕		
		自觉	构造	腹部	热气球		
		自然	购买	腹泻	热腾腾		
		自身	购物	覆盖	热衷		
		自主	估计	该	人道		
		总结	孤独	改编	人缘儿		
		总理	孤儿	改动	忍饥挨饿		
		走过	古典	改革开放	任期		
		走进	古老	改良	任人宰割		
		走开	股	改为	韧性		
		足够	股东	钙	日复一日		
		组合	股票	盖子	日新月异		
		作家	骨干	概况	容光焕发		
		作品	骨头	概率	容颜		
		作品	鼓	干戈	溶解		
		作用	鼓励	干旱	冗长		
		做法	鼓掌	干燥	如愿以偿		
			固定	肝脏	如醉如痴		
			故障	赶赴	瑞雪		
			顾	赶往	三番五次		
			顾问	感	僧人		
			瓜	感触	鲨鱼		
			刮	感恩	煽动		
			拐	感激	膳食		
			怪	感慨	赡养		
			怪	感染	伤残		
			关	感叹	伤感		
			关爱	感想	伤脑筋		
			关闭	干部	商贾		
			关怀	干事	上流		
			关键	纲领	上司		
			关联	纲要	上限		
			观测	钢	捎		
			观光	缸	奢望		
			官	港	涉嫌		
			官方	杠铃	申领		
			官司	高昂	伸缩		
			官员	高傲	伸张		
			管道	高超	身不由己		
			冠军	高低	深入人心		
			光辉	高调	审定		
			光临	高额	审判		
			光盘	高尔夫	升温		
			光荣	高峰期	生命线		
			光线	高贵	生平		
			广	高空	生硬		
			广泛	高龄	盛气凌人		
			广阔	高明	失传		
			逛	高山	失恋		
			归	高效	失灵		
			规划	高血压	时不时		
			规律	高压	食宿		
			规则	高雅	史无前例		
			轨道	高涨	使唤	算盘	
			鬼	搞笑	世故		
			柜子	告	世袭		
			跪	告诫	市场经济		
			滚	告知	势不可挡		
			锅	戈壁	试用期		
			国产	胳膊	嗜好		
			国防	鸽子	收复		
			国歌	搁	收敛		
			国会	搁置	收留		
			国籍	歌词	收买		
			国民	歌剧	守株待兔		
			国旗	歌颂	受惊		
			果酱	歌舞	输家		
			果实	格	赎		
			果树	格局	曙光		
			果汁	格式	树荫		
			过度	隔离	衰减		
			过渡	个案	摔跤		
			过分	个儿	涮		
			过后	个头儿	双赢		
			过敏	个子	爽快		
			过于	各式各样	水槽		
			海边	根源	水货		
			海底	跟不上	水晶		
			海军	跟上	水灵灵		
			海浪	跟踪	水落石出		
			海上	更改	水域		
			海水	耕地	水涨船高		
			海外	工地	睡袋		
			海湾	工商界	顺理成章		
			海鲜	工序	顺其自然		
			海洋	工整	顺势		
			害	工作量	说老实话		
			含	工作日	说情		
			含量	公安局	硕果		
			含义	公车	司空见惯		
			含有	公道	私房钱		
			寒假	公共场所	思前想后		
			寒冷	公关	死心		
			汗	公函	死心塌地		
			行业	公积金	似曾相识		
			航班	公款	似是而非		
			航空	公立	伺机		
			毫米	公仆	松绑		
			毫升	公顷	松弛		
			好（不）容易	公然	送别		
			好好儿	公示	酥		
			好似	公事	俗语		
			好友	公务	诉说		
			好运	公用	素不相识		
			好转	公寓	素材		
			号码	公约	素描		
			号召	公证	算计		
			好	功	算盘		
			好学	功臣	算账		
			合并	功劳	随大溜		
			合成	功率	随时随地		
			合同	功效	随心所欲		
			合约	攻	损人利己		
			和谐	攻关	缩影		
			核桃	供	所作所为		
			核心	供暖	台球		
			盒	供求	太极		
			盒饭	宫殿	痰		
			盒子	宫廷	坦然		
			贺卡	恭喜	汤圆		
			黑暗	拱	滔滔不绝		
			黑夜	共鸣	特例		
			很难说	共性	特邀		
			狠	勾	剔除		
			恨	勾结	体贴		
			横	钩	替身		
			衡量	钩子	天长地久		
			宏大	构思	天分		
			洪水	构想	天经地义		
			猴	购	天平		
			后悔	估算	甜美		
			后年	孤单	填充		
			厚	孤立	跳槽		
			呼吸	孤零零	贴切		
			忽略	姑姑	停顿		
			忽视	辜负	通缉		
			胡同儿	古怪	通宵		
			胡子	古迹	同感		
			壶	古人	同年		
			虎	股份	同仁		
			互动	股市	同舟共济		
			户	骨折	捅		
			护	鼓舞	偷窥		
			花费	固然	头顶		
			花瓶	固执	头头是道		
			花生	故	投奔		
			划	顾不得	投稿		
			滑	顾不上	投射		
			化解	顾及	透彻		
			化石	顾虑	透气		
			划	雇	突如其来		
			划分	雇佣	图形		
			画面	雇员	土生土长		
			怀念	雇主	推卸		
			怀疑	瓜子	推选		
			环节	刮风	颓废		
			缓解	寡妇	退却		
			幻想	挂钩	退让		
			患者	挂号	屯		
			慌	乖	托付		
			慌忙	拐弯	脱节		
			皇帝	怪不得	脱口而出		
			黄瓜	怪物	脱身		
			黄金	关掉	脱颖而出		
			灰色	关节	驮		
			恢复	关税	妥		
			回报	关头	拓宽		
			回避	关照	唾液		
			回复	观摩	外貌		
			回顾	观赏	外星人		
			回国	观望	外援		
			回收	官兵	玩意儿		
			回头	官吏	惋惜		
			回信	官僚	万古长青		
			回忆	官僚主义	万能		
			回应	管家	万万		
			毁	管理费	万无一失		
			汇	管辖	亡羊补牢		
			汇报	管用	王牌		
			汇款	管子	威风		
			汇率	贯彻	威慑		
			会见	贯穿	微不足道		
			会长	贯通	伪装		
			绘画	惯	维度		
			昏	惯例	未知数		
			婚礼	惯性	味精		
			混	灌	畏缩		
			混合	灌溉	慰劳		
			混乱	灌输	温度计		
			活力	罐	温习		
			活泼	罐头	瘟疫		
			活跃	光彩	紊乱		
			火	光碟	污秽		
			火柴	光顾	巫婆		
			火箭	光滑	呜咽		
			火灾	光环	无敌		
			伙	光芒	无恶不作		
			伙伴	广义	无故		
			或是	归还	无关紧要		
			或许	归结	无话可说		
			货	归来	无济于事		
			获	归纳	无精打采		
			获得	龟	无可奉告		
			获奖	规格	无可厚非		
			获取	规矩	无理		
			几乎	瑰宝	无能为力		
			机动车	柜台	无情无义		
			机构	贵宾	无所事事		
			机关	贵重	无所作为		
			机器人	贵族	无微不至		
			机械	桂花	无形中		
			机遇	滚动	无须		
			机制	棍	无忧无虑		
			肌肉	棍子	无缘	心肠	
			积累	国宝	无足轻重		
			基层	国画	五花八门		
			基地	国徽	物证		
			基督教	国情	息息相关		
			基金	国土	稀罕		
			激动	国有	锡		
			激烈	果断	熙熙攘攘		
			激情	果园	嬉笑		
			及格	果真	席位		
			吉利	裹	洗礼		
			吉祥	过半	喜出望外		
			极	过不去	喜酒		
			极端	过错	喜糖		
			极其	过关	喜洋洋		
			即将	过节	细微		
			即使	过境	狭义		
			急救	过滤	狭隘		
			急忙	过期	下场		
			疾病	过日子	下海		
			集	过剩	下级		
			集合	过失	下调		
			集团	过时	下一代		
			挤	过头	下意识		
			给予	过瘾	下坠		
			记忆	过硬	仙鹤		
			纪律	过早	先例		
			技能	海岸	鲜美		
			技巧	海拔	嫌弃		
			系	海报	显而易见		
			季	海宾	陷阱		
			季度	海盗	腺		
			季节	海面	相对而言		
			既	海内外	相辅相成		
			既然	海滩	相提并论		
			继承	海峡	相依为命		
			加班	海啸	香料		
			加盟	海域	镶		
			加热	海运	镶嵌		
			加速	害虫	想方设法		
			加以	害羞	消沉		
			加油站	含蓄	消遣		
			夹	函授	小曲儿		
			家电	涵盖	小卒		
			家务	罕见	孝顺		
			家园	汗水	效仿		
			家长	旱	效应		
			嘉宾	旱灾	邪恶		
			甲	行家	挟持		
			价	行列	写照		
			驾驶	行情	泄密		
			驾照	航天	泄气		
			假日	航天员	心安理得		
			尖	航行	心病		
			坚定	航运	心肠		
			坚固	毫不	心慌		
			肩	毫不犹豫	心急如焚		
			艰苦	毫无	心灵手巧		
			艰难	豪华	心酸		
			监测	好比	心想事成		
			监督	好歹	心胸		
			兼	好感	辛酸		
			捡	好坏	欣欣向荣		
			检测	好评	新潮		
			检验	好笑	新陈代谢		
			减	好心	星座		
			减肥	好心人	猩猩		
			减轻	好意	腥		
			减少	好在	形形色色		
			剪	号称	形影不离		
			剪刀	好客	幸存		
			剪子	好奇心	幸免		
			简介	耗	性价比		
			间接	耗费	凶残		
			建造	浩劫	凶恶		
			建筑	呵护	凶狠		
			剑	合唱	汹涌		
			健全	合乎	胸膛		
			健身	合伙	汹涌成竹		
			渐渐	合计	休克		
			鉴定	合影	休眠		
			键	合资	休想		
			键盘	何必	休养		
			箭	何处	修补		
			江	何苦	修长		
			将军	何况	秀丽		
			将要	何时	秀美		
			讲究	和解	袖手旁观		
			讲课	和气	虚构		
			讲座	和尚	虚幻		
			奖	河流	旭日		
			奖金	荷花	酗酒		
			奖励	核	絮叨		
			奖学金	核电站	宣读		
			降	核对	宣泄		
			降低	核能	喧哗	以身作则	矣
			降价	核实	玄机		
			降落	核武器	旋涡		
			降温	喝彩	选项		
			酱	黑白	靴子		
			酱油	黑客	学艺		
			交代	嘿	学子		
			交换	痕迹	雪山		
			交际	恨不得	雪上加霜		
			交朋友	哼	血脉		
			郊区	横向	血栓		
			骄傲	横	循序渐进		
			胶带	轰	驯		
			胶水	轰动	逊色		
			焦点	轰炸	压倒		
			脚步	哄	压制		
			脚印	哄堂大笑	咽喉		
			觉	烘干	烟囱		
			教材	弘扬	烟火		
			教授	红包	延缓		
			教堂	红灯	言辞		
			教训	红火	言行		
			教育部	宏观	阎王		
			阶段	宏伟	眼色		
			接触	哄	演艺圈		
			接连	哄	演绎		
			接收	喉咙	厌倦		
			揭	吼	秧歌		
			街道	后备	阳性		
			街上	后代	摇摆		
			街头	后期	摇篮		
			节	后勤	摇摇欲坠		
			节能	后人	要害		
			节省	后台	要领		
			节奏	后头	要强		
			杰出	后退	椰子		
			结	后续	野餐		
			结构	后遗症	野炊		
			结论	后者	夜市		
			截止	厚道	夜校		
			截至	厚度	夜以继日		
			姐妹	候选人	夜总会		
			解	呼唤	衣食住行		
			解除	呼声	一不小心		
			解放	呼吁	一概		
			解释	忽悠	一概而论		
			解说	胡闹	一晃		
			戒	糊	一技之长		
			届	糊涂	一目了然		
			界	互补	一瞬间		
			界	互信	怡然自得		
			借鉴	互助	遗弃		
			今日	护理	遗物		
			金额	花瓣	遗愿		
			金钱	花纹	以身作则		
			金融	花样儿 	矣		
			尽管	划算	一成不变		
			尽快	华丽	一筹莫展		
			紧紧	华侨	一干二净		
			紧密	华裔	一鼓作气		
			尽	滑冰	一锅粥		
			尽可能	滑雪	一举一动		
			尽力	化肥	一揽子		
			进攻	化验	一毛不拔		
			进化	化妆	一如既往		
			近代	画展	一声不吭		
			近来	话费	一无所有		
			近日	话筒	一无所知		
			禁止	话语	一心一意		
			经典	怀抱	一言不发		
			经费	怀里	一言一行		
			惊人	怀孕	一应俱全		
			惊喜	怀着	屹立		
			精	坏事	异想天开		
			精力	欢呼	抑扬顿挫		
			精美	欢快	益处		
			精品	还款	意料之外		
			井	还原	因人而异		
			景	环绕	阴暗		
			景点	缓	阴性		
			景象	缓和	殷勤		
			警告	缓缓	引经据典		
			净	缓慢	引擎		
			竞赛	幻觉	引人入胜		
			竞争	换成	引人注目		
			竟然	换取	引诱		
			敬礼	换上	隐情		
			境内	换位	隐身		
			境外	换起	隐形		
			镜头	患	隐性		
			镜子	患病	印刷术		
			纠纷	患有	印章		
			纠正	荒	应有尽有		
			究竟	荒凉	英镑		
			酒吧	荒谬	荧光		
			酒鬼	慌乱	赢家		
			救命	慌张	应酬		
			救援	皇宫	硬朗		
			救灾	皇后	勇往直前		
			救助	皇上	涌入		
			就是说	黄昏	踊跃		
			就算	晃	尤为		
			居民	谎言	由此看来		
			居然	晃	由来		
			居住	灰	由衷		
			局	灰尘	游船		
			局	灰心	友善		
			局面	挥	有的放矢		
			局长	辉煌	有口无心		
			举动	回归	有两下子		
			巨大	回扣	有声有色		
			拒绝	回馈	有所不同		
			具备	回落	有朝一日		
			俱乐部	回升	诱饵		
			剧	回味	逾期		
			剧本	回想	愚公移山		
			据	悔恨	与日俱增		
			距离	毁坏	与时俱进		
			聚	毁灭	预感		
			聚会	汇集	预兆		
			捐	汇聚	遇险		
			捐款	会场	愈合		
			捐赠	会面	愈演愈烈		
			捐助	会晤	元老		
			卷	贿赂	原创		
			卷	昏迷	原汁原味		
			决不	婚姻	原装		
			决策	浑身	源源不断		
			角色	魂	远见		
			觉悟	混淆	远近闻名		
			绝	混浊	怨恨		
			绝大多数	活儿	怨气		
			绝望	火暴	怨言		
			军舰	火锅	曰		
			军事	火花	约定俗成		
			咖啡	火炬	阅历		
			开创	火热	悦耳		
			开关	火山	陨石		
			开花	火焰	孕育		
			开幕	火药	蕴涵		
			开幕式	或多或少	杂交		
			开设	货币	杂乱无章		
			开水	货车	在职		
			开通	货物	赞不绝口		
			开夜车	货运 	赞叹不已		
			开支	获胜	葬礼		
			看	获悉	遭殃		
			看管	饥饿	凿		
			看不起	机舱	造纸术		
			看成	机动 	扎根		
			看出	机灵 	榨		
			看待	机密	沾光		
			看得见	机智 	瞻仰		
			看得起	肌肤	斩草除根		
			看好	积	盏		
			看起来	积蓄 	绽放		
			看望	基本功	蘸		
			看做	基因	张灯结彩		
			康复	基于	掌管		
			抗议	基准	招揽		
			考场	畸形	朝气蓬勃		
			考核	激发	朝三暮四		
			考虑	激光	朝夕相处		
			考题	激化	着迷		
			靠近	激活	照办		
			棵	激励	遮盖		
			颗	激起	折叠		
			咳	及	针锋相对		
			可	及其	珍视		
			可见	及早	珍重		
			可怜	吉普	真是的		
			可惜	吉他	真挚		
			渴望	吉祥物	振作		
			客车	级别	镇定		
			客户	极度 	争分夺秒		
			客气	极力 	争光		
			客厅	极少数	争气		
			课题	极为	争先恐后		
			肯	极限 	症结		
			空间	即	整数		
			空军	即便	直奔		
			空中	即可	直视		
			恐怕	急剧 	止步		
			空	急需	止咳		
			控制	急于	止血		
			口袋	急诊	指教		
			口号	集会	指手画脚		
			口试	集结	质朴		
			口语	集邮	质问		
			扣	集资	治学		
			库	挤压	窒息		
			裤子	脊梁	中性		
			酷	计	中庸		
			跨	计较	终结		
			会计	记号	肿瘤		
			快车	记载	众所周知		
			快点儿	纪录片	众志成城		
			快活	纪念碑	重创		
			宽	纪念馆	重型		
			宽广	纪念日	重中之重		
			宽阔	技艺	周旋		
			狂	忌 	骤然		
			矿	忌口	诸如此类		
			矿泉水	剂	主题歌		
			亏	迹象	住户		
			困扰	继	贮藏		
			扩大	继而	铸造		
			扩展	祭	专长		
			括号	寄托	专柜		
			阔	寂静	专卖店		
			垃圾	寂寞	专制		
			拉开	加紧	专著		
			落	加剧	转告		
			辣	加深	转交		
			啦	加重 	转悠		
			来不及	佳节	撰写		
			来得及	家伙	庄园		
			来往	家教	壮胆		
			来信	家禽	壮实		
			来源	家用	追悼会		
			赖	家政	追溯		
			栏目	家族	追随		
			蓝领	假定	追尾		
			蓝天	假冒	追逐		
			懒	假设	拙劣		
			烂	假使	灼热		
			朗读	假装	酌情		
			浪漫	价值观	着落		
			牢	驾	兹		
			老公	驾车	资历		
			老家	架子	滋润		
			老朋友	嫁	自负		
			老婆	尖端	自力更生		
			老实	尖锐	自强不息		
			老乡	奸诈	自然而然		
			乐趣	歼灭	自始至终		
			泪	坚实	自私自利		
			泪水	坚守	自相矛盾		
			类型	坚信	自以为是		
			冷静	坚硬	自责		
			冷气	肩膀	自尊		
			冷水	肩负	字迹		
			厘米	艰巨	字体		
			离不开	艰辛	综上所述		
			礼	监察	总而言之		
			礼拜	监管	纵观		
			礼貌	监护	纵横交错		
			礼堂	监控	纵深		
			理	监视	粽子		
			理财	监狱	走过场		
			理发	兼顾	走投无路		
			理智	兼任	走弯路		
			力（影响力）	兼职	奏效		
			力气	煎	足智多谋		
			厉害	拣	祖传		
			立	检察	祖籍		
			立场	检讨	钻空子		
			立即	减免	罪魁祸首		
			利	减弱	左顾右盼		
			利润	减速	佐料		
			利息	简称	作对		
			利益	简短			
			例外	简化			
			俩	简洁			
			连接	简历			
			联络	简陋			
			联盟	简体字			
			联赛	简要			
			联手	简易			
			联想	见解			
			脸盆	见识			
			脸色	见效			
			脸上	见证			
			恋爱	间断			
			良好	间隔			
			凉水	间隙			
			凉鞋	建交			
			粮食	建筑师			
			两岸	建筑物			
			两边	贱			
			两侧	健美			
			两手	健壮			
			疗养	溅			
			聊	鉴别			
			聊天儿	鉴于			
			了不起	姜			
			料	僵			
			列	僵局			
			列车	讲解			
			列入	讲述			
			列为	奖杯			
			裂	奖牌			
			邻居	奖品			
			临时	奖项			
			灵活	降临			
			铃	交叉			
			铃声	交付			
			零食	交接			
			零下	交纳			
			领取	交涉			
			领袖	交谈			
			另	交替			
			令	交响乐			
			留言	郊外			
			流传	浇			
			流动	娇惯			
			流感	娇气			
			流通	胶囊			
			楼道	焦			
			楼房	焦急			
			楼梯	焦虑			
			漏	角落			
			漏洞	狡猾			
			露	搅			
			陆地	搅拌			
			陆军	缴			
			陆续	缴费			
			录取	缴纳			
			录像	叫好			
			录音机	轿车			
			路边	较劲			
			路过	较量			
			露	教科书			
			旅店	阶层			
			旅馆	阶级			
			旅行社	皆			
			律师	结			
			绿化	结果			
			轮	接班人			
			轮船	接轨			
			轮椅	接见			
			轮子	接力			
			论文	接纳			
			逻辑	接手			
			落	接送			
			落实	接替			
			马车	接听			
			码头	接通			
			骂	揭发			
			嘛	揭露			
			埋	揭示			
			买卖	揭晓			
			馒头	节俭			
			漫长	节水			
			漫画	劫			
			慢车	劫持			
			慢慢	结冰			
			盲人	结晶			
			猫	结局			
			毛巾	结识			
			毛衣	结尾			
			矛盾	截			
			贸	竭力			
			贸易	解答			
			帽子	解读			
			没错	解救			
			没法儿	解剖			
			没想到	解散			
			梅花	解体			
			煤	解脱			
			煤气	解围			
			美金	介入			
			美丽	介意			
			美女	戒烟			
			美容	戒指			
			美食	届时			
			门诊	界限			
			蒙	借口			
			蒙	借条			
			猛	借用			
			梦	借助			
			梦见	金属			
			梦想	金子			
			迷人	津贴			
			迷信	筋			
			秘密	禁不住			
			秘书	仅次于			
			密	尽			
			密码	尽早			
			密切	紧接着			
			棉	紧迫			
			免得	紧缺			
			免费	紧缩			
			面对面	锦旗			
			面临	谨慎			
			面貌	尽情			
			面试	尽头			
			面向	进场			
			面子	进程			
			描述	进出			
			描写	进出口			
			秒	进度			
			妙	进而			
			灭	近年来			
			民歌	晋升			
			民工	浸泡			
			民警	禁忌			
			民意	禁区			
			民众	经			
			敏感	经贸			
			名额	经商			
			名牌儿	经受			
			名片	惊			
			名人	惊慌			
			名胜	惊奇			
			名义	惊叹			
			名誉	惊险			
			明亮	惊醒			
			明明	惊讶			
			明日	晶莹			
			命	精华			
			命令	精明			
			摸	精确			
